Time,Latitude,Longitude,Depth,Magnitude,Magnitude_type
2012-05-04T04:28:44.919135Z,40.0899,29.9648,10.0521,3.14036,ML
2012-05-04T15:22:13.683361Z,40.0336,29.8703,4.94792,2.43172,ML
2012-05-04T15:24:34.003361Z,40.0336,29.8703,4.94792,2.6855,ML
2012-05-05T16:56:22.279134Z,40.0899,29.9648,10.0521,1.68675,ML
2012-05-05T21:10:26.296900Z,40.0408,29.9504,10.0521,1.55079,ML
2012-05-06T00:14:49.696900Z,40.0408,29.9504,10.0521,1.56226,ML
2012-05-06T08:09:19.381958Z,40.0198,29.9578,11.5104,1.0123,ML
2012-05-06T12:00:43.679135Z,40.0899,29.9648,10.0521,1.39299,ML
2012-05-06T19:57:35.723361Z,40.0336,29.8703,4.94792,2.61744,ML
2012-05-06T22:15:08.176900Z,40.0408,29.9504,10.0521,1.31956,ML
2012-05-09T17:49:41.963361Z,40.0336,29.8703,4.94792,2.67654,ML
2012-05-09T17:49:52.123361Z,40.0336,29.8703,4.94792,2.8692,ML
2012-05-09T22:29:44.723361Z,40.0336,29.8703,4.94792,1.57489,ML
2012-05-10T18:25:47.359134Z,40.0899,29.9648,10.0521,1.39495,ML
2012-05-10T18:50:00.959134Z,40.0899,29.9648,10.0521,1.12391,ML
2012-05-10T19:01:35.765696Z,40.0619,29.9576,15.9896,1.70115,ML
2012-05-10T19:18:48.799134Z,40.0899,29.9648,10.0521,1.33802,ML
2012-05-10T22:56:09.386640Z,40.083,29.9794,10.9896,1.44942,ML
2012-05-10T23:17:50.261958Z,40.0198,29.9578,11.5104,1.79386,ML
2012-05-11T16:30:14.426640Z,40.083,29.9794,10.9896,1.66348,ML
2012-05-11T20:24:44.706640Z,40.083,29.9794,10.9896,1.62269,ML
2012-05-11T22:57:04.079134Z,40.0899,29.9648,10.0521,1.05108,ML
2012-05-11T23:19:05.999134Z,40.0899,29.9648,10.0521,1.27756,ML
2012-05-12T11:58:15.418996Z,40.0128,29.9578,11.5104,2.06347,ML
2012-05-12T12:38:05.963361Z,40.0336,29.8703,4.94792,1.78146,ML
2012-05-12T13:15:05.799134Z,40.0899,29.9648,10.0521,1.66011,ML
2012-05-12T14:39:43.519134Z,40.0899,29.9648,10.0521,1.46376,ML
2012-05-13T03:44:12.058996Z,40.0128,29.9578,11.5104,1.1013,ML
2012-05-13T03:50:27.639134Z,40.0899,29.9648,10.0521,1.53227,ML
2012-05-13T06:22:08.279134Z,40.0899,29.9648,10.0521,1.01744,ML
2012-05-13T09:31:20.079134Z,40.0899,29.9648,10.0521,1.07851,ML
2012-05-13T15:15:07.683361Z,40.0336,29.8703,4.94792,1.56855,ML
2012-05-13T16:16:01.719134Z,40.0899,29.9648,10.0521,1.14121,ML
2012-05-13T16:41:22.376900Z,40.0408,29.9504,10.0521,1.00183,ML
2012-05-13T19:43:27.519134Z,40.0899,29.9648,10.0521,1.40845,ML
2012-05-13T21:49:12.701958Z,40.0198,29.9578,11.5104,1.11154,ML
2012-05-13T23:30:19.976900Z,40.0408,29.9504,10.0521,1.49817,ML
2012-05-13T23:30:20.866640Z,40.083,29.9794,10.9896,1.51622,ML
2012-05-13T23:49:18.445696Z,40.0619,29.9576,15.9896,1.84657,ML
2012-05-13T23:49:19.119134Z,40.0899,29.9648,10.0521,1.83501,ML
2012-05-14T01:14:39.546640Z,40.083,29.9794,10.9896,1.20061,ML
2012-05-14T05:05:45.205696Z,40.0619,29.9576,15.9896,1.32534,ML
2012-05-14T06:02:20.501958Z,40.0198,29.9578,11.5104,1.7361,ML
2012-05-14T06:02:21.706640Z,40.083,29.9794,10.9896,1.3402,ML
2012-05-14T10:47:10.106640Z,40.083,29.9794,10.9896,2.30491,ML
2012-05-14T14:03:43.696900Z,40.0408,29.9504,10.0521,1.26782,ML
2012-05-14T18:13:24.860796Z,40.0058,29.9505,10.0521,1.39035,ML
2012-05-15T05:33:58.060796Z,40.0058,29.9505,10.0521,1.47914,ML
2012-05-15T06:01:32.900796Z,40.0058,29.9505,10.0521,1.56291,ML
2012-05-15T06:01:34.399135Z,40.0899,29.9648,10.0521,1.12526,ML
2012-05-15T06:14:02.879134Z,40.0899,29.9648,10.0521,1.35632,ML
2012-05-15T07:01:10.416900Z,40.0408,29.9504,10.0521,1.23403,ML
2012-05-15T07:13:10.079134Z,40.0899,29.9648,10.0521,1.19027,ML
2012-05-15T09:52:51.239134Z,40.0899,29.9648,10.0521,1.1749,ML
2012-05-15T11:58:19.565696Z,40.0619,29.9576,15.9896,1.4342,ML
2012-05-15T14:02:57.946640Z,40.083,29.9794,10.9896,1.36132,ML
2012-05-15T17:01:15.018996Z,40.0128,29.9578,11.5104,1.31604,ML
2012-05-15T18:06:17.279134Z,40.0899,29.9648,10.0521,1.07726,ML
2012-05-15T18:09:43.416900Z,40.0408,29.9504,10.0521,1.16196,ML
2012-05-15T21:49:56.959134Z,40.0899,29.9648,10.0521,1.06125,ML
2012-05-16T03:50:42.919135Z,40.0899,29.9648,10.0521,1.21452,ML
2012-05-16T10:31:28.906640Z,40.083,29.9794,10.9896,1.18868,ML
2012-05-16T13:10:03.536900Z,40.0408,29.9504,10.0521,1.52322,ML
2012-05-16T13:10:04.386640Z,40.083,29.9794,10.9896,1.50009,ML
2012-05-16T21:01:43.079134Z,40.0899,29.9648,10.0521,1.036,ML
2012-05-17T08:11:39.443361Z,40.0336,29.8703,4.94792,1.72409,ML
2012-05-17T08:11:41.106640Z,40.083,29.9794,10.9896,1.7313,ML
2012-05-17T17:56:49.799134Z,40.0899,29.9648,10.0521,1.45266,ML
2012-05-17T21:32:29.778996Z,40.0128,29.9578,11.5104,1.6911,ML
2012-05-17T21:32:31.066640Z,40.083,29.9794,10.9896,1.2804,ML
2012-05-18T06:12:12.843361Z,40.0336,29.8703,4.94792,1.2024,ML
2012-05-18T06:12:14.506640Z,40.083,29.9794,10.9896,1.21966,ML
2012-05-18T15:23:49.936900Z,40.0408,29.9504,10.0521,1.13796,ML
2012-05-18T21:26:47.858996Z,40.0128,29.9578,11.5104,1.38389,ML
2012-05-19T00:18:43.923361Z,40.0336,29.8703,4.94792,1.22304,ML
2012-05-19T06:53:24.003361Z,40.0336,29.8703,4.94792,1.16979,ML
2012-05-19T09:53:06.279134Z,40.0899,29.9648,10.0521,1.42154,ML
2012-05-19T10:03:20.479134Z,40.0899,29.9648,10.0521,1.42601,ML
2012-05-19T16:01:45.883361Z,40.0336,29.8703,4.94792,1.15668,ML
2012-05-19T17:42:25.256900Z,40.0408,29.9504,10.0521,1.01449,ML
2012-05-19T17:46:22.656900Z,40.0408,29.9504,10.0521,1.22578,ML
2012-05-20T00:05:47.437946Z,40.7097,30.1709,4.142,1.3408,ML
2012-05-20T01:41:50.757946Z,40.7097,30.1709,4.137,2.93495,ML
2012-05-20T02:05:30.997946Z,40.7097,30.1709,4.144,1.04037,ML
2012-05-20T09:06:21.489727Z,40.8668,30.4067,2.972,1.77245,ML
2012-05-20T11:17:34.059914Z,40.6914,30.3069,11.946,1.10863,ML
2012-05-20T12:20:29.359134Z,40.0899,29.9648,10.0521,1.3471,ML
2012-05-20T17:10:35.679135Z,40.0899,29.9648,10.0521,1.09904,ML
2012-05-21T08:11:24.439135Z,40.0899,29.9648,10.0521,1.00331,ML
2012-05-21T11:55:55.639134Z,40.0899,29.9648,10.0521,1.06171,ML
2012-05-21T13:31:03.186314Z,40.3395,29.9888,4.377,1.88441,ML
2012-05-21T13:36:02.626640Z,40.083,29.9794,10.9896,1.7711,ML
2012-05-21T16:00:35.239134Z,40.0899,29.9648,10.0521,1.17621,ML
2012-05-21T19:55:30.285696Z,40.0619,29.9576,15.9896,2.76556,ML
2012-05-21T20:35:28.165696Z,40.0619,29.9576,15.9896,1.32938,ML
2012-05-21T22:43:08.085696Z,40.0619,29.9576,15.9896,1.30176,ML
2012-05-21T22:43:58.176900Z,40.0408,29.9504,10.0521,2.36829,ML
2012-05-21T22:43:59.026640Z,40.083,29.9794,10.9896,2.38595,ML
2012-05-22T00:08:14.466640Z,40.083,29.9794,10.9896,1.50539,ML
2012-05-22T01:50:08.159135Z,40.0899,29.9648,10.0521,1.36345,ML
2012-05-22T06:15:05.376900Z,40.0408,29.9504,10.0521,1.2077,ML
2012-05-22T06:15:06.226640Z,40.083,29.9794,10.9896,1.26517,ML
2012-05-22T06:22:21.776900Z,40.0408,29.9504,10.0521,1.128,ML
2012-05-22T07:02:24.359134Z,40.0899,29.9648,10.0521,1.2411,ML
