	origin_times	tids	latitudes	longitudes	depths	max_hor_uncertainty	max_ver_uncertainty	azimuth_max_hor_unc	magnitudes	fractal_dimensions	mining_activity	location_quality	rel_error_hor	rel_error_ver
0	2012-05-04 00:41:44.075604+00:00	17	38.8485	29.2213	1.04167	11.0735	11.3938	113.781			False	0		
1	2012-05-04 01:01:53.018104+00:00	1285	39.9354	29.8417	3.07292	9.31378	2.81847	31.7546		0.10622	False	1		
2	2012-05-04 01:01:56.018536+00:00	923	40.0759	29.9429	11.5104	7.78902	3.03655	32.8608		0.104657	False	1		
3	2012-05-04 02:00:36.486008+00:00	21	38.9034	29.1058	1.04167	10.1707	11.5642	118.428			False	0		
4	2012-05-04 02:15:27.606008+00:00	21	38.9034	29.1058	1.04167	10.1707	11.5642	118.428			False	0		
5	2012-05-04 02:26:37.363395+00:00	190	40.0127	29.9141	11.0938	8.09665	3.34837	33.2638		0.101293	False	1		
6	2012-05-04 02:40:43.640209+00:00	1209	38.8767	29.2495	1.875	9.14706	11.6847	114.545			False	0		
7	2012-05-04 02:53:07.726008+00:00	21	38.9034	29.1058	1.04167	10.1707	11.5642	118.428			False	0		
8	2012-05-04 03:17:49.009976+00:00	130	38.7934	29.3366	1.04167	13.2634	10.4019	128.422			False	0		
9	2012-05-04 03:18:07.445637+00:00	562	39.9073	29.8419	0.989583	7.53109	1.55947	27.4005		0.119754	False	1		
10	2012-05-04 03:18:15.482861+00:00	711	38.8212	29.3076	1.875	13.5123	11.5197	113.781			False	0		
11	2012-05-04 03:26:02.416975+00:00	558	38.9037	29.1344	1.45833	9.9305	11.5691	117.498			False	0		
12	2012-05-04 04:28:23.259747+00:00	924	38.8767	29.2495	1.45833	10.9794	11.536	115.435			False	0		
13	2012-05-04 04:28:41.154393+00:00	1418	39.9213	29.8418	0.989583	5.66611	2.16195	30.3749		0.0994881	False	1		
14	2012-05-04 04:28:44.919135+00:00	1286	40.0899	29.9648	10.0521	9.44151	2.60672	33.5888	3.14036	0.126267	False	1		
15	2012-05-04 05:30:41.446008+00:00	21	38.9034	29.1058	1.04167	10.1707	11.5642	118.428			False	0		
16	2012-05-04 06:59:23.185586+00:00	479	38.876	29.1636	2.70833	10.7815	11.4785	116.912			False	0		
17	2012-05-04 06:59:42.130932+00:00	16	39.9424	29.8416	4.01042	6.4885	2.38722	26.9518		0.110717	False	1		
18	2012-05-04 09:02:56.345586+00:00	479	38.876	29.1636	2.70833	10.7815	11.4785	116.912			False	0		
19	2012-05-04 09:03:15.996889+00:00	471	39.981	29.8523	4.6875	9.1601	2.75584	28.1896		0.0892043	False	1		
20	2012-05-04 09:46:03.045555+00:00	327	40.6666	30.0523	0.047	0.61593	0.117893	93.0245	1.62713		True	2		
21	2012-05-04 10:25:15.325555+00:00	327	40.6666	30.0523	0.047	0.61593	0.117893	93.0245	1.58985		True	2		
