Time,Latitude,Longitude,Depth,Magnitude,Magnitude_type
2012-05-06T10:11:10.000000Z,40.7718,29.7487,5.5,1.2,ML
2012-05-08T18:07:54.000000Z,40.9448,30.5102,2.0,1.4,ML
2012-05-09T09:59:56.000000Z,40.7635,30.4063,8.9,1.1,ML
2012-05-09T10:06:30.000000Z,40.0695,30.2018,2.3,1.5,ML
2012-05-09T23:10:39.000000Z,40.8123,30.8087,2.4,1.6,ML
2012-05-10T12:30:03.000000Z,40.2687,29.97,6.0,1.8,ML
2012-05-10T12:50:25.000000Z,40.2765,29.9712,5.5,1.9,ML
2012-05-10T13:22:49.000000Z,40.2663,30.1665,4.6,1.0,ML
2012-05-11T08:37:43.000000Z,40.206,29.9515,4.5,1.3,ML
2012-05-12T09:26:57.000000Z,40.1193,29.9885,5.1,1.8,ML
2012-05-12T09:56:32.000000Z,40.4465,30.7085,6.2,2.1,ML
2012-05-12T23:59:08.000000Z,40.4463,30.7048,6.3,1.9,ML
2012-05-15T13:35:56.000000Z,40.8838,30.3787,4.4,1.6,ML
2012-05-17T09:47:26.000000Z,40.925,29.7473,8.7,1.4,ML
2012-05-17T12:09:12.000000Z,40.4237,29.9755,2.8,1.2,ML
2012-05-17T15:07:25.000000Z,40.5918,30.3592,5.5,1.6,ML
2012-05-18T12:04:36.000000Z,40.6063,30.6995,3.8,1.2,ML
2012-05-19T11:23:04.000000Z,40.0052,29.9768,1.8,2.2,ML
2012-05-20T01:41:51.000000Z,40.7278,30.1473,2.3,2.3,ML
2012-05-21T13:31:03.000000Z,40.342,29.9757,1.9,1.0,ML
2012-05-22T08:56:30.000000Z,40.3558,30.0092,4.4,2.0,ML
2012-05-22T10:49:39.000000Z,40.6187,30.0777,1.5,1.0,ML
2012-05-22T14:58:58.000000Z,40.16,30.5227,4.7,1.7,ML
2012-05-22T16:08:34.000000Z,40.6082,30.3668,4.7,1.5,ML
2012-05-22T16:49:50.000000Z,40.9165,30.5772,4.0,1.8,ML
2012-05-23T10:29:41.000000Z,40.8945,29.7165,7.6,1.4,ML
2012-05-23T12:32:08.000000Z,40.4195,30.0108,2.3,1.1,ML
2012-05-24T11:20:14.000000Z,40.6293,30.1895,11.3,1.1,ML
2012-05-25T10:33:03.000000Z,40.9248,29.7225,5.6,1.5,ML
2012-05-27T14:29:12.000000Z,40.4903,30.7292,2.1,1.1,ML
2012-05-27T21:08:07.000000Z,40.6422,30.928,12.7,1.0,ML
2012-05-30T00:45:43.000000Z,40.7598,30.8355,3.8,1.6,ML
2012-05-30T01:12:16.000000Z,40.6705,30.6057,6.4,1.4,ML
2012-06-07T06:45:45.000000Z,40.1605,29.9043,5.5,1.4,ML
2012-06-07T12:11:50.000000Z,40.9202,29.7153,14.0,1.4,ML
2012-06-08T14:25:14.000000Z,40.4703,30.2672,3.5,1.3,ML
2012-06-08T14:39:03.000000Z,40.7885,30.4458,10.7,1.1,ML
2012-06-08T16:31:39.000000Z,40.939,30.6108,11.4,1.2,ML
2012-06-09T08:48:59.000000Z,40.4655,30.0117,9.5,1.4,ML
2012-06-10T11:28:35.000000Z,40.7097,30.2593,10.5,1.2,ML
2012-06-11T11:48:16.000000Z,40.4245,30.0642,3.4,1.0,ML
2012-06-11T12:39:45.000000Z,40.9697,30.5365,13.0,1.5,ML
2012-06-12T10:15:32.000000Z,40.13,29.9947,9.2,1.0,ML
2012-06-12T12:55:53.000000Z,40.174,29.9247,5.3,1.1,ML
2012-06-13T09:25:34.000000Z,40.163,29.8393,11.7,1.4,ML
2012-06-13T15:12:25.000000Z,40.8573,29.7287,9.8,1.4,ML
2012-06-13T15:54:28.000000Z,40.2205,29.9617,10.8,1.6,ML
2012-06-14T07:40:18.000000Z,40.3822,30.0103,3.4,1.3,ML
2012-06-15T10:02:58.000000Z,40.561,30.1183,8.2,1.0,ML
2012-06-15T12:47:37.000000Z,40.6017,30.4448,5.0,1.2,ML
2012-06-19T16:28:34.000000Z,40.4733,30.332,5.5,2.1,ML
2012-06-22T16:07:27.000000Z,40.5883,30.347,4.8,1.7,ML
2012-06-22T16:46:34.000000Z,40.7595,30.4068,9.4,1.1,ML
2012-06-23T06:41:01.000000Z,40.1765,29.9225,3.7,1.4,ML
2012-06-23T07:47:49.000000Z,40.543,30.5717,9.2,1.7,ML
2012-06-25T03:47:28.000000Z,40.7313,29.9692,9.5,1.6,ML
2012-06-26T09:33:35.000000Z,40.2692,29.7815,10.4,1.1,ML
2012-06-26T14:32:53.000000Z,40.4172,30.0047,2.3,1.0,ML
2012-06-26T21:14:00.000000Z,40.7152,30.6142,9.0,1.0,ML
2012-06-28T11:18:29.000000Z,40.9238,29.7482,10.0,1.4,ML
2012-06-28T17:46:07.000000Z,40.4858,30.1422,6.7,2.1,ML
2012-06-30T13:46:39.000000Z,40.255,29.9097,2.7,1.7,ML
2012-06-30T15:42:57.000000Z,40.8905,30.3842,3.3,2.0,ML
2012-07-06T11:38:03.000000Z,40.253,30.1672,2.3,1.0,ML
2012-07-07T06:56:02.000000Z,40.7632,30.3962,11.6,2.3,ML
2012-07-07T07:11:07.000000Z,40.7617,30.4033,10.7,1.9,ML
2012-07-07T07:14:25.000000Z,40.7643,30.3938,11.6,2.2,ML
2012-07-07T07:24:34.000000Z,40.7628,30.3965,10.8,2.1,ML
2012-07-07T07:34:43.000000Z,40.76,30.3955,11.0,1.3,ML
2012-07-07T08:35:09.000000Z,40.2418,30.004,4.6,1.2,ML
2012-07-07T08:48:43.000000Z,40.7627,30.404,10.8,1.1,ML
