Date        Time      Latit(N)	Long(E) Depth(km)  ML 
08.05.2012  15:51:55  40.4938	 30.3148   11.2      1.6
09.05.2012  07:21:37  40.6633	 30.5393   9.4       1.1
09.05.2012  12:37:56  40.0703	 29.7972   4.4       2.2
09.05.2012  15:38:32  40.6647	 30.1655   4.9       0.6
10.05.2012  10:05:14  40.6742	 30.1540   5.2       0.6
10.05.2012  15:49:49  40.8452	 29.7472   1.8       1.1
10.05.2012  16:00:34  40.7327	 30.0778   11.3      1.0
10.05.2012  16:25:36  40.7260	 30.0737   6.1       0.9
10.05.2012  16:40:22  40.7472	 30.1113   6.6       1.6
10.05.2012  16:49:54  40.7258	 30.0883   9.7       0.9
10.05.2012  21:52:37  40.4032	 30.1090   4.8       0.8
11.05.2012  11:08:47  40.0853	 30.2073   19.3      1.1
11.05.2012  14:18:28  40.6785	 30.1805   4.0       0.8
11.05.2012  14:30:44  40.4717	 30.3370   1.6       1.6
11.05.2012  16:12:07  40.5903	 30.3883   7.1       1.5
11.05.2012  19:49:43  40.2262	 30.1462   2.7       0.9
12.05.2012  08:33:56  40.7915	 30.4298   12.6      1.1
12.05.2012  10:11:13  40.5110	 30.9352   3.5       1.2
12.05.2012  10:27:42  40.8477	 29.9473   8.6       1.1
12.05.2012  12:06:18  40.4390	 30.0173   5.0       1.0
13.05.2012  00:11:19  40.3563	 30.5007   1.9       0.7
14.05.2012  05:30:41  40.4713	 30.5045   7.4       0.5
14.05.2012  08:33:40  40.6997	 30.1705   2.8       0.5
14.05.2012  15:29:38  39.8998	 30.1568   6.9       2.1
14.05.2012  22:55:07  40.6657	 30.5208   9.3       0.7
15.05.2012  13:35:56  40.8838	 30.3787   4.4       1.6
16.05.2012  01:45:34  40.7657	 31.0407   4.8       1.0
16.05.2012  11:51:08  40.2648	 30.1405   1.4       0.9
16.05.2012  13:05:51  40.5582	 30.1100   4.7       0.8
16.05.2012  20:53:14  40.4855	 30.5232   6.9       0.4
17.05.2012  09:33:29  40.6533	 30.1715   1.5       0.1
17.05.2012  09:47:26  40.9250	 29.7473   8.7       1.4
17.05.2012  12:09:12  40.4237	 29.9755   2.8       1.2
17.05.2012  15:07:25  40.5918	 30.3592   5.5       1.6
18.05.2012  12:04:36  40.6063	 30.6995   3.8       1.2
18.05.2012  20:07:09  40.7577	 31.4000   5.6       2.2
19.05.2012  00:23:39  40.7343	 30.2338   2.0       0.6
19.05.2012  08:26:03  40.5832	 30.0942   6.8       0.8
19.05.2012  11:23:04  40.0052	 29.9768   1.8       2.2
19.05.2012  17:27:44  40.3995	 30.2877   5.7       0.5
20.05.2012  00:05:48  40.7167	 30.1540   4.2       0.8
20.05.2012  01:41:51  40.7278	 30.1473   2.3       2.3
20.05.2012  02:05:32  40.7183	 30.1478   4.0       0.4
21.05.2012  00:38:26  40.4518	 30.4708   6.9       0.5
21.05.2012  03:08:27  40.6090	 30.8180   3.2       0.5
21.05.2012  10:44:29  40.6113	 30.3187   5.0       0.6
21.05.2012  13:31:03  40.3420	 29.9757   1.9       1.0
21.05.2012  15:53:43  40.4467	 30.6547   3.6       0.6
21.05.2012  20:48:50  40.6672	 30.6088   1.8       0.5
21.05.2012  21:17:41  40.5328	 30.8457   2.5       0.8
22.05.2012  08:56:30  40.3558	 30.0092   4.4       2.0
22.05.2012  10:49:39  40.6187	 30.0777   1.5       1.0
22.05.2012  12:20:22  40.5233	 30.5063   1.8       0.5
22.05.2012  12:25:09  40.5508	 30.5388   8.0       0.5
22.05.2012  14:58:58  40.1600	 30.5227   4.7       1.7
22.05.2012  16:08:34  40.6082	 30.3668   4.7       1.5
22.05.2012  16:49:50  40.9165	 30.5772   4.0       1.8
22.05.2012  20:47:00  40.4898	 30.4143   1.3       0.1
23.05.2012  09:33:15  40.3540	 30.0728   1.4       0.5
23.05.2012  10:29:41  40.8945	 29.7165   7.6       1.4
23.05.2012  12:32:08  40.4195	 30.0108   2.3       1.1
23.05.2012  18:20:35  40.7052	 30.4660   8.1       0.7
23.05.2012  21:55:24  40.6480	 30.6658   3.4       0.7
24.05.2012  05:15:12  40.3490	 30.0047   3.2       0.7
24.05.2012  11:20:14  40.6293	 30.1895   11.3      1.1
25.05.2012  09:17:36  40.6647	 30.4807   6.9       0.6
25.05.2012  10:33:03  40.9248	 29.7225   5.6       1.5
25.05.2012  17:50:40  40.5813	 30.0863   9.8       0.4
26.05.2012  03:22:56  40.3087	 30.7722   7.2       0.4
26.05.2012  14:46:44  40.8612	 30.4268   5.5       0.9
27.05.2012  14:29:12  40.4903	 30.7292   2.1       1.1
